testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
EVENTLINK,,âÔàıìoò^,,,,,1000
TESTATTRIBUTE,eMailTest_Default,email,,,,,1000
TESTATTRIBUTE,passwordTest_Default,password,,,,,1000
TESTATTRIBUTE,password_repeatTest_Default,password-confirmation,,,,,1000
TESTATTRIBUTE,userNameTest_Default,username,,,,,1000
TESTCHECKBOX,UserLankSelectTest_Default,rank-premium,true,,,,1000
TESTATTRIBUTE,addressTest_Default,address,,,,,1000
TESTATTRIBUTE,telTest_Default,tel,,,,,1000
TESTATTRIBUTE,genderTest_Default,gender,0,,,,1000
TESTATTRIBUTE,birthDayTest_Default,birthday,,,,,1000
TESTCHECKBOX,notificationSelectTest_Default,notification,false,,,,1000
EVENTLINK,,ÉzÅ[ÉÄ,,,,,1000

