testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
//会員登録1
EVENTLINK,,会員登録,,,,,1000
REGISTDATASET,,1,,,,,1000
EVENTTEXTINPUT,e-Mail_Test,email,,,,,1000
EVENTTEXTINPUT,password_Test,password,,,,,1000
EVENTTEXTINPUT,password2_Test,password-confirmation,,,,,1000
EVENTTEXTINPUT,username_Test,username,,,,,1000
EVENTCHECK,rank_Test,rank,,,,,1000
EVENTTEXTINPUT,address_Test,address,,,,,1000
EVENTTEXTINPUT,tel_Test,tel,,,,,1000
EVENTDROPDOWN,gender_Test,gender,,,,,1000
EVENTBIRTHDAYINPUT,birthday_Test,birthday,,,,,1000
EVENTCHECKBOX,notification_Test,notification,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-primary.btn-block,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-outline-success.my-2.my-sm-0,,,,,1000
cEVENTLINK,,ログアウト,,,,,1000
EVENTLINK,,ログイン,,,,,1000
TESTLOGIN,email,password,login-button,,,mypage,1000
REGISTEXIT,user1_DeleteTest,,button.btn.btn-danger.btn-block.my-3,退会すると全ての情報が削除されます。\nよろしいですか？,退会処理を完了しました。ご利用ありがとうございました。,,1000

//会員登録2
EVENTLINK,,会員登録,,,,,1000
REGISTDATASET,,2,,,,,1000
EVENTTEXTINPUT,e-Mail_Test,email,,,,,1000
EVENTTEXTINPUT,password_Test,password,,,,,1000
EVENTTEXTINPUT,password2_Test,password-confirmation,,,,,1000
EVENTTEXTINPUT,username_Test,username,,,,,1000
EVENTCHECK,rank_Test,rank,,,,,1000
EVENTTEXTINPUT,address_Test,address,,,,,1000
EVENTTEXTINPUT,tel_Test,tel,,,,,1000
EVENTDROPDOWN,gender_Test,gender,,,,,1000
EVENTBIRTHDAYINPUT,birthday_Test,birthday,,,,,1000
EVENTCHECKBOX,notification_Test,notification,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-primary.btn-block,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-outline-success.my-2.my-sm-0,,,,,1000
cEVENTLINK,,ログアウト,,,,,1000
EVENTLINK,,ログイン,,,,,1000
TESTLOGIN,email,password,login-button,,,mypage,1000
REGISTEXIT,user2_DeleteTest,,button.btn.btn-danger.btn-block.my-3,退会すると全ての情報が削除されます。\nよろしいですか？,退会処理を完了しました。ご利用ありがとうございました。,,1000

//会員登録3
EVENTLINK,,会員登録,,,,,1000
REGISTDATASET,,3,,,,,1000
EVENTTEXTINPUT,e-Mail_Test,email,,,,,1000
EVENTTEXTINPUT,password_Test,password,,,,,1000
EVENTTEXTINPUT,password2_Test,password-confirmation,,,,,1000
EVENTTEXTINPUT,username_Test,username,,,,,1000
EVENTCHECK,rank_Test,rank,,,,,1000
EVENTTEXTINPUT,address_Test,address,,,,,1000
EVENTTEXTINPUT,tel_Test,tel,,,,,1000
EVENTDROPDOWN,gender_Test,gender,,,,,1000
EVENTBIRTHDAYINPUT,birthday_Test,birthday,,,,,1000
EVENTCHECKBOX,notification_Test,notification,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-primary.btn-block,,,,,1000
EVENTCSSSELECTOR,,button.btn.btn-outline-success.my-2.my-sm-0,,,,,1000
cEVENTLINK,,ログアウト,,,,,1000
EVENTLINK,,ログイン,,,,,1000
TESTLOGIN,email,password,login-button,,,mypage,1000
REGISTEXIT,user3_DeleteTest,,button.btn.btn-danger.btn-block.my-3,退会すると全ての情報が削除されます。\nよろしいですか？,退会処理を完了しました。ご利用ありがとうございました。,,1000

//会員登録4
EVENTLINK,,会員登録,,,,,1000
REGISTDATASET,,4,,,,,1000
