testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
REFRESH,,,,,,,1000
//非会員初期画面
EVENTLINK,,宿泊予約,,,,,1000
EVENTLINKHREF,,./reserve.html?plan-id=0,,,,,3000
PARENT,,,,,,,1000
CHILD,,,,,,,1000
TESTTEXTID,planName_Test,plan-name,お得な特典付きプラン,,,,1000
TESTTOMORROW,reserveStartDate_Test,date,,,,,1000
TESTATTRIBUTE,reserveTermTest_Default,term,1,,,,1000
TESTATTRIBUTE,reserveHeadCountTest_Default,head-count,1,,,,1000
TESTCHECKBOX,BreakfastSelectTest_Default,breakfast,false,,,,1000
TESTCHECKBOX,EarlyCheckInSelectTest_Default,early-check-in,false,,,,1000
TESTCHECKBOX,SightSeeingSelectTest_Default,sightseeing,false,,,,1000
TESTATTRIBUTE,GuesNameTest_Default,username,,,,,1000
TESTDROPDOWNID,ContactTest_Default,contact,選択してください,,,,1000
CHILDCLOSE,,,,,,,1000
PARENTACTIVE,,,,,,,1000
EVENTLINK,,ホーム,,,,,1000

