testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
REFRESH,,,,,,,1000
//”ñ‰ïˆõ‰Šú‰æ–Ê
EVENTLINK,,h”‘—\–ñ,,,,,1000
EVENTLINK,,‰ïˆõ“o˜^,,,,,1000
EVENTLINKHREF,,./reserve.html?plan-id=0,,,,,1000
TESTTEXTID,planName_Test,plan-name,‚¨“¾‚È“Á“T•t‚«ƒvƒ‰ƒ“,,,,1000
TESTTOMORROW,reserveStartDate_Test,date,,,,,1000
TESTATTRIBUTE,reserveTermTest_Default,term,1,,,,1000
TESTATTRIBUTE,reserveHeadCountTest_Default,head-count,1,,,,1000
TESTCHECKBOX,BreakfastSelectTest_Default,breakfast,false,,,,1000
TESTCHECKBOX,EarlyCheckInSelectTest_Default,early-check-in,false,,,,1000
TESTCHECKBOX,SightSeeingSelectTest_Default,sightseeing,false,,,,1000
TESTATTRIBUTE,GuesNameTest_Default,username,,,,,1000
TESTDROPDOWNID,ContactTest_Default,contact,‘I‘ğ‚µ‚Ä‚­‚¾‚³‚¢,,,,1000
EVENTLINK,,ƒz[ƒ€,,,,,1000

