testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
EVENTLINK,ログイン,,,,,1000
EVENTTEXTINPUT,LoginTest,email,yoshiki@example.com,,,,1000
EVENTTEXTINPUT,LoginTest,password,pass-pass,,,,1000
EVENTID,,login-button,,,,,1000
REFRESH,,,,,,,1000

REFRESH,,,,,,,
//TC022,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=6,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTMONDAY,reserveDate_TC022,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC022,term,1,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC022,head-count,6,,,,1000
EVENTCHECKBOX,Breakfast_TC022,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC022,early-check-in,off,,,,1000
EVENTCHECKBOX,SightSeeing_TC022,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC022,username,,,,,1000
EVENTDROPDOWN,Contact_TC022,contact,メールでのご連絡,,,,1000
EVENTCONTACT,ContactEmail_TC022,email,,,,,1000
EVENTCONTACT,ContactTel_TC022,tel,,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
TESTPRICE,TestPrice_TC022,total-bill,60000,,,,1000
//部屋情報検証_TC022,,,,,,,0
TESTTEXTID,roomTypeTest_TC022,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC022,,,,,,,0
TESTPRICE,TestPrice_TC022,total-bill,60000,,,,1000
//期間検証_TC022,,,,,,,0
TESTTERM,reserveTermTest_TC022,term,,,,,1000
//人数検証_TC022,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC022,head-count,6名様,,,,1000
//追加プラン検証_TC022,,,,,,,0
TESTTEXTX,optionPlanTest01_TC022,//*[@id="plans"]/ul/li,お得な観光プラン,,,,1000
//名前検証_TC022,,,,,,,0
TESTTEXTID,NameTest_TC022,username,,,,,1000
//確認のご連絡検証_TC022,,,,,,,0
TESTCONTACT,contactTest_TC022,contact,メール,,,,1000
//ご要望の検証_TC022,,,,,,,
TESTTEXTID,commentTest_TC022,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC022,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC022,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC022,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC022,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC023,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=6,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTSATURDAY,reserveDate_TC023,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC023,term,9,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC023,head-count,6,,,,1000
EVENTCHECKBOX,Breakfast_TC023,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC023,early-check-in,off,,,,1000
EVENTCHECKBOX,SightSeeing_TC023,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC023,username,,,,,1000
EVENTDROPDOWN,Contact_TC023,contact,メールでのご連絡,,,,1000
EVENTCONTACT,ContactEmail_TC023,email,,,,,1000
EVENTCONTACT,ContactTel_TC023,tel,,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
