testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
EVENTLINK,,ログイン,,,,,1000
EVENTTEXTINPUT,LoginTest,email,ichiro@example.com,,,,1000
EVENTTEXTINPUT,LoginTest,password,password,,,,1000
EVENTID,,login-button,,,,,1000
GETUSERINFO,,email,tel,username,,,1000

REFRESH,,,,,,,
//TC051,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=6,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTWEDNESDAY,reserveDate_TC051,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC051,term,9,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC051,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC051,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC051,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC051,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC051,username,,,,,1000
EVENTDROPDOWN,Contact_TC051,contact,電話でのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC051,total-bill,95500,,,,1000
//部屋情報検証_TC051,,,,,,,0
TESTTEXTID,roomTypeTest_TC051,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC051,,,,,,,0
TESTPRICE,TestPrice_TC051,total-bill,95500,,,,1000
//期間検証_TC051,,,,,,,0
TESTTERM,reserveTermTest_TC051,term,,,,,1000
//人数検証_TC051,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC051,head-count,1名様,,,,1000
//追加プラン検証_TC051,,,,,,,0
TESTTEXTX,optionPlanTest01_TC051,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC051,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
